PLAYER_NAME,TEAM_ABBREVIATION,TS%,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP,Pos
Tre Jones,CHI,0.617,0.202,0.282,3.7,9.9,6.8,28.6,1.9,1,11.6,14.1,0.5,1,1.5,SG
Trendon Watford,BKN,0.557,0.251,0.349,4.4,16,9.9,21,1.5,1.3,17.1,23.3,-2.3,-0.8,-3.1,SG
Trevelin Queen,ORL,0.486,0.524,0.143,6.6,7.9,7.2,13.3,3.6,2.2,12.3,18.1,-2.6,2.3,-0.3,PF
Trey Alexander,DEN,0.374,0.415,0.098,1,9.8,5.6,11.4,0.8,0.8,10.5,17.3,-7.9,-1.8,-9.7,C
Trey Jemison,LAL,0.537,0,0.446,12.4,17.1,14.8,5.5,1.1,3.6,21.3,12.4,-6.3,-0.5,-6.8,PF
Trey Lyles,SAC,0.551,0.636,0.214,6.6,19.6,13.1,7.9,1.5,1.7,8.7,14.3,-0.4,-0.3,-0.7,C
Trey Murphy III,NOP,0.598,0.522,0.274,2.7,13.2,7.8,15.9,1.5,2,9.9,23.7,2.1,-1.4,0.8,PF
Tristan da Silva,ORL,0.522,0.495,0.13,4.9,12.7,8.6,10.3,1,1.1,9.9,15.2,-2.3,-0.3,-2.6,SG
Tristan Thompson,CLE,0.41,0.042,0.423,10.9,32.7,22.1,8.8,0.3,3,14.3,12.7,-4.9,0.3,-4.6,PF
Tristan Vukcevic,WAS,0.608,0.421,0.277,5.2,21.2,13.2,13,1,4,13.4,25.7,0.4,-0.9,-0.5,SG
Ty Jerome,CLE,0.643,0.409,0.239,4,9.3,6.7,24.5,2.7,0.2,11.9,23.6,3.5,0.8,4.3,PF
Tyler Herro,MIA,0.605,0.486,0.237,1.4,14.6,8.1,26.2,1.3,0.6,11.5,28,3.8,-0.7,3.1,PF
Tyler Kolek,NYK,0.453,0.573,0.207,3.1,7.3,5.2,29.5,2,1.3,16.7,15.8,-2.6,-0.3,-2.8,C
Tyler Smith,MIL,0.626,0.6,0.16,5.6,16.3,11.1,4.9,1.2,3.1,13,22.1,0.4,-1.2,-0.9,C
Tyrese Haliburton,IND,0.616,0.559,0.221,1.9,9.7,5.9,38.9,2.1,1.8,9.8,21.6,5.7,0.2,5.8,C
Tyrese Martin,BKN,0.533,0.606,0.125,4.8,14.6,9.5,14.6,1.3,0.7,13.1,18.8,-1.4,-1.2,-2.6,SF
Tyrese Maxey,PHI,0.562,0.438,0.265,0.8,9.6,5,28,2.3,1.1,9.2,29.8,3.2,-1.1,2,PF
Tyus Jones,PHX,0.585,0.587,0.083,2.1,7.8,5,27.7,1.6,0.3,11.4,16.2,1.4,-1.3,0.1,C
