Player,Team,Pos,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP
Josh Christopher,MIA,SG,0.416,0.355,0.194,0,14.3,7.2,17.2,3.6,4.2,15.1,25.5,-7.5,-0.4,-7.9,-0.1
Sidy Cissoko,2TM,SF,0.471,0.433,0.3,7.4,12.4,9.9,17.7,0.9,0.8,24.5,16.6,-4.8,-0.3,-5.1,-0.1
Jaylen Clark,MIN,SG,0.598,0.425,0.308,5.6,5.6,5.6,6.7,3.4,0.4,5.5,12,-2.9,2.7,-0.2,0.2
Brandon Clarke,MEM,PF,0.638,0.045,0.229,11.3,17.3,14.3,7.4,2,2.7,8.9,15.3,0,0.8,0.8,0.9
Jordan Clarkson,UTA,SG,0.54,0.471,0.29,2.8,10.4,6.6,22.9,1.5,0.9,13.4,27.8,0.6,-2.1,-1.5,0.1
Nic Claxton,BRK,C,0.569,0.037,0.271,9,22.7,15.5,13.7,1.6,5.3,12,16.8,-1.1,1.5,0.4,1.1
Donovan Clingan,POR,C,0.574,0.147,0.311,17.3,26.1,21.6,8.3,1.2,7.5,15.9,14.2,-1.7,1.4,-0.3,0.6
Noah Clowney,BRK,PF,0.516,0.702,0.215,4.5,15.8,9.9,5.9,1.1,2,10.2,19,-3.1,-1,-4.1,-0.5
Amir Coffey,LAC,SG,0.614,0.484,0.253,2.1,8.2,5.2,6.1,1.1,0.4,7.4,15.3,-1.5,-0.2,-1.7,0.1
Isaiah Collier,UTA,PG,0.494,0.305,0.277,1.9,11.8,6.9,34.3,1.7,0.8,25,18.9,-3.8,-1.5,-5.3,-1.6
John Collins,UTA,PF,0.628,0.279,0.309,7.9,20.9,14.4,10.8,1.5,3.1,14.6,24.2,1.4,-0.4,1,0.9
Yuri Collins,GSW,PG,0.333,0,0,13.1,6.9,10.1,31.9,6.1,0,0,7.9,-6.2,6.5,0.3,0
Zach Collins,2TM,PF,0.605,0.351,0.258,11.1,19.9,15.6,15.6,1.4,2.6,15.1,17.1,-0.8,0.8,0,0.5
Mike Conley,MIN,PG,0.573,0.662,0.192,2.1,9.3,5.7,24.5,2.2,0.7,12.9,14.4,-0.1,1.3,1.2,1.4
