Player,Age,Team,Pos,TS%,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP
Alex Ducas,24,OKC,SG,0.583,0.7,7.9,14.3,11.2,4.8,1.9,0,11.5,11.8,-2.1,0.1,-2,0
David Duke Jr.,25,SAS,SG,0.538,0.429,3.1,12.6,7.9,17,1.4,0,11.8,21.2,-0.1,-1.4,-1.5,0
Kris Dunn,30,LAC,PG,0.531,0.513,3.4,12.4,8,15.6,3.5,1.5,14.2,12.7,-2.8,3.4,0.6,1.2
Ryan Dunn,22,PHO,SF,0.517,0.553,7.5,13.5,10.6,5.7,1.5,2.7,7.5,16.7,-2.9,-1.2,-4.1,-0.7
Kevin Durant,36,PHO,PF,0.642,0.331,1.2,16.9,9.2,19.6,1.1,3.2,12.9,28.7,3.9,-0.7,3.2,3
Jalen Duren,21,DET,C,0.703,0,15.2,28.7,22,14.7,1.3,4.2,17.2,16.4,1.6,1.5,3.1,2.7
Tari Eason,23,HOU,PF,0.567,0.329,9.4,17.9,13.6,8.5,3.3,3.2,9.7,19.4,1,2.6,3.6,2
Zach Edey,22,MEM,C,0.624,0.12,17.5,23.4,20.5,6.1,1.2,5.5,15.3,16.4,-0.2,0.1,-0.1,0.7
Anthony Edwards,23,MIN,SG,0.595,0.503,2.4,14.8,8.7,20.9,1.6,1.7,12,31.4,4.4,0,4.3,4.6
Jesse Edwards,24,MIN,C,,,0,0,0,23.6,0,0,,0,-8.8,4.7,-4,0
Justin Edwards,21,PHI,SF,0.559,0.503,4.3,10.4,7.3,8.9,1.9,1.4,11,16.9,-2.1,-1.6,-3.7,-0.5
Kessler Edwards,24,DAL,SF,0.597,0.4,4,16.3,10.3,9.1,1.5,2.8,10.2,11.1,-2,0.6,-1.4,0.1
Keon Ellis,25,SAC,SG,0.664,0.692,3.4,8.8,6.1,8,3,3.2,12.4,12.7,-0.1,2,1.9,1.9
Joel Embiid,30,PHI,C,0.58,0.244,6.8,24.5,15.3,25.6,1.2,3.1,13.7,34.2,3.7,-0.3,3.5,0.8
Tyson Etienne,25,BRK,PG,0.488,0.846,2.2,4.7,3.4,11.9,1,0.7,12.4,18.6,-5.7,-3.1,-8.8,-0.3
Drew Eubanks,27,2TM,C,0.622,0.031,8.9,24.1,16.5,10.6,0.8,5,15.4,15.1,-1.2,0.6,-0.7,0.3
Tosan Evbuomwan,23,BRK,SF,0.53,0.35,5.2,15.8,10.2,12.9,1.8,1.5,13.4,19.1,-3,-0.3,-3.2,-0.2
Danté Exum,29,DAL,PG,0.589,0.396,1.2,8.3,4.8,21.5,1.6,0.7,13,19.6,-1.2,-1.1,-2.3,0
Bruno Fernando,26,TOR,C,0.552,0,15,22.4,18.6,17.9,1.3,5.8,21,18.9,-3,2.3,-0.7,0.1
Kyle Filipowski,21,UTA,C,0.594,0.425,8,23.1,15.6,13.9,1.5,1.4,14.9,18.7,-0.6,-0.3,-1,0.4
Dorian Finney-Smith,31,2TM,PF,0.604,0.722,5,10.4,7.7,6.9,1.6,1.2,11,12.3,-1.1,0.1,-1,0.5
Adam Flagler,25,OKC,SG,0.335,0.75,3.8,10.3,7.1,7.3,1.9,1.5,4,21.1,-8.1,-2.3,-10.3,-0.4
Trentyn Flowers,19,LAC,SF,0.446,0.182,4.3,12.4,8.4,0,0,0,7.5,21.5,-7.1,-1.3,-8.3,0
Malachi Flynn,26,CHO,PG,0.512,0.308,7.1,9.9,8.5,23.3,3.4,0,20.4,19,-4.4,1.5,-2.8,0
Simone Fontecchio,29,DET,SF,0.544,0.609,4.7,14.5,9.6,6.9,1.2,0.9,11.6,15.8,-2.2,-0.7,-2.9,-0.3
De'Aaron Fox,27,2TM,PG,0.56,0.328,2.7,12.1,7.4,27.2,2,1.1,11.8,28.3,1.3,-1,0.4,1.3
Enrique Freeman,24,IND,PF,0.507,0.27,6.8,11.6,9.2,6.1,0.8,1.5,11.7,12.3,-4.9,-1.4,-6.3,-0.2
Markelle Fultz,26,SAC,PG,0.452,0.119,3.6,8.5,6.1,20,2.7,1.1,18.2,19.3,-4.5,-0.2,-4.7,-0.1
Johnny Furphy,20,IND,SG,0.506,0.543,6.8,14,10.4,6.2,2.3,2.6,10.6,13,-3,0.6,-2.5,0
Daniel Gafford,26,DAL,C,0.716,0,14.1,20.3,17.2,10.2,0.9,7.1,11.9,19.5,2.7,1.1,3.8,1.8
Darius Garland,25,CLE,PG,0.6,0.451,2.3,7.6,5,32.2,1.9,0.4,12.8,27.2,3.9,-0.8,3.1,3
Marcus Garrett,26,CHO,SG,0.487,0.296,1.3,6.9,4,25.1,1.9,2.5,17.3,18.7,-5.4,-2.2,-7.6,-0.1
Luka Garza,26,MIN,C,0.573,0.343,16,11.5,13.7,8.2,1.4,1.3,9.1,26.2,-0.4,-1.9,-2.3,0
Keyonte George,21,UTA,PG,0.539,0.552,1.3,11.5,6.5,26.9,1,0.4,14.9,24.3,-0.2,-2.5,-2.7,-0.3
Kyshawn George,21,WAS,SG,0.503,0.648,2.8,13.7,8.2,13.3,1.8,2.5,14.2,15.9,-3.8,-0.3,-4.1,-0.9
Paul George,34,PHI,PF,0.543,0.47,2,17.2,9.3,20.9,2.8,1.5,14.7,23.5,-0.5,0.1,-0.4,0.5
Taj Gibson,39,CHO,C,0.515,0.021,13,18.4,15.6,7.5,1.1,4.3,19.4,13.4,-5.2,-0.1,-5.3,-0.3
Josh Giddey,22,CHI,PG,0.57,0.348,6.4,21.4,14,32.9,1.9,1.8,18.4,21.7,1.9,1.1,3,2.7
Shai Gilgeous-Alexander,26,OKC,PG,0.637,0.263,2.8,12.6,7.8,31.3,2.4,3,8.6,34.8,8.9,2.6,11.5,8.9
Anthony Gill,32,WAS,PF,0.586,0.352,4.7,12.6,8.6,5.7,1.1,0.5,8.3,12.7,-3,-1.5,-4.5,-0.3
Collin Gillespie,25,PHO,PG,0.578,0.57,5.5,13.2,9.4,24,2.3,1,9.2,17.7,2.3,0.2,2.5,0.5
Rudy Gobert,32,MIN,C,0.687,0,12.5,23.8,18.2,7.5,1.2,4.1,12.4,13,0.6,1.3,1.9,2.4
Jordan Goodwin,26,LAL,PG,0.541,0.472,8.1,14.9,11.6,10.5,2.7,1.9,14.9,14.1,-1.7,0.8,-0.8,0.2
Aaron Gordon,29,DEN,PF,0.65,0.346,6.4,12.1,9.4,15,0.8,0.9,11.3,19,2.7,-1.5,1.2,1.2
