PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,TS%,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP,Pos
Alec Burks,MIA,33,49,17.6,7.3,2.5,1.1,0.6,0.1,0.6,0.424,0.425,0.776,2.2,77,214,2011,1,12,0.608,0.764,0.181,1.9,13.8,7.9,9.1,1.6,0.8,9,16.5,0,0.3,0.3,C
Alex Caruso,OKC,31,54,19.3,7.1,2.9,2.5,1.6,0.6,0.7,0.446,0.353,0.824,5.9,77,186,Undrafted,Undrafted,Undrafted,0.568,0.541,0.162,4,12.2,8.2,16.6,4,2.9,9.9,15.2,0.1,3.9,4,SG
Alex Ducas,OKC,24,21,6,1.7,1.2,0.2,0.2,0,0.2,0.4,0.476,1,-1,79,220,Undrafted,Undrafted,Undrafted,0.583,0.7,0.067,7.9,14.3,11.2,4.8,1.9,0,11.5,11.8,-2.1,0.1,-2,SG
Alex Len,LAL,32,46,8.3,1.6,2.1,0.8,0.2,0.5,0.4,0.508,0.222,0.471,-3.3,84,250,2013,1,5,0.525,0.143,0.27,11.3,16.7,14,12.6,1.2,5.4,22.1,10.3,-3.9,1.2,-2.6,SG
Alex Sarr,WAS,20,67,27.1,13,6.5,2.4,0.7,1.5,1.7,0.394,0.308,0.679,-8.1,84,205,2024,1,2,0.482,0.412,0.199,7.1,17.9,12.5,13.9,1.2,5,11.2,23.5,-2.2,-1,-3.3,C
Alperen Sengun,HOU,22,76,31.5,19.1,10.3,4.9,1.1,0.8,2.6,0.496,0.233,0.692,5.4,83,243,2021,1,16,0.545,0.079,0.374,11.4,23.8,17.5,24.1,1.7,2.3,12.7,26.2,2.6,1.8,4.4,PF
Amen Thompson,HOU,22,69,32.3,14.1,8.2,3.8,1.4,1.3,2,0.557,0.275,0.684,3.9,79,200,2023,1,4,0.602,0.131,0.354,9,18.2,13.5,16.9,2.1,3.6,14.6,17.5,1.4,2.6,4.1,C
Amir Coffey,LAC,28,72,24.3,9.7,2.2,1.1,0.6,0.1,0.6,0.471,0.409,0.891,-0.9,79,210,Undrafted,Undrafted,Undrafted,0.614,0.484,0.253,2.1,8.2,5.2,6.1,1.1,0.4,7.4,15.3,-1.5,-0.2,-1.7,SG
Andre Drummond,PHI,31,40,18.8,7.3,7.8,0.9,1,0.5,1.4,0.5,0.15,0.622,-6.1,83,279,2012,1,9,0.535,0.085,0.385,15.8,31.6,23.4,6.8,2.6,2.4,16.7,19.1,-2.4,-0.8,-3.2,C
Andre Jackson Jr.,MIL,23,67,14.6,3.4,2.7,1.2,0.5,0.2,0.9,0.477,0.395,0.5,-0.5,78,209,2023,2,36,0.554,0.386,0.122,7.5,12.5,10.1,10.9,1.7,1.3,21.8,11.9,-3.6,0.2,-3.4,SF
Andrew Nembhard,IND,25,65,28.9,10,3.3,5,1.2,0.2,1.7,0.458,0.291,0.794,3.1,76,191,2022,2,31,0.545,0.325,0.252,2,10.7,6.4,22.5,2,0.5,15.8,16.3,-2.6,0.3,-2.3,SG
Andrew Wiggins,MIA,30,60,30.7,18,4.5,2.6,1,0.8,1.7,0.448,0.374,0.763,-1.7,79,197,2014,1,1,0.566,0.415,0.306,5.1,10.8,7.9,13.5,1.6,2.6,9.4,24.5,1.2,-0.3,0.9,C
Anfernee Simons,POR,26,70,32.7,19.3,2.7,4.8,0.9,0.1,2,0.426,0.363,0.902,-3.1,75,200,2018,1,24,0.557,0.527,0.172,1.2,8,4.5,23.3,1.3,0.2,10.6,24.6,1.5,-1.5,-0.1,SG
Anthony Black,ORL,21,78,24.2,9.4,2.9,3.1,1.1,0.6,1.8,0.423,0.318,0.761,-0.5,79,200,2023,1,6,0.521,0.315,0.318,3,11.4,7,19.4,2.3,2.4,16.4,19.6,-3.1,1.2,-1.9,SG
Anthony Davis,DAL,32,51,33.4,24.7,11.6,3.5,1.2,2.2,2.2,0.516,0.282,0.775,0.5,82,253,2012,1,1,0.588,0.136,0.405,9.1,29.1,19.4,18.3,1.7,6,9.5,30.4,3.9,1.5,5.4,SF
Anthony Edwards,MIN,23,79,36.3,27.6,5.7,4.5,1.2,0.6,3.2,0.447,0.395,0.837,3.7,76,225,2020,1,1,0.595,0.503,0.308,2.4,14.8,8.7,20.9,1.6,1.7,12,31.4,4.4,0,4.3,SG
Anthony Gill,WAS,32,51,7.8,2.5,1.3,0.3,0.2,0,0.2,0.489,0.323,0.66,-1.4,80,230,Undrafted,Undrafted,Undrafted,0.586,0.352,0.568,4.7,12.6,8.6,5.7,1.1,0.5,8.3,12.7,-3,-1.5,-4.5,PG
Antonio Reeves,NOP,24,44,15,6.9,1.4,0.9,0.5,0.1,0.7,0.456,0.395,0.8,-3.4,77,205,2024,2,47,0.579,0.52,0.141,2.9,7.6,5.1,8.8,1.5,0.6,10.2,18.8,-1.2,-2,-3.2,C
Ariel Hukporti,NYK,23,25,8.7,1.9,2,0.4,0,0.6,0.8,0.677,0,0.462,-2.5,83,246,2024,2,58,0.654,0,0.419,7.5,19.4,13.5,6.4,0.2,6.4,36.4,11.6,-6.5,0.9,-5.6,SG
Ausar Thompson,DET,22,59,22.5,10.1,5.1,2.3,1.7,0.7,1.4,0.535,0.224,0.641,1.1,78,205,2023,1,5,0.568,0.107,0.309,9.3,15.9,12.6,14.4,3.5,2.9,13.3,19.1,-0.8,2.5,1.7,PF
Austin Reaves,LAL,27,73,34.9,20.2,4.5,5.8,1.1,0.3,2.4,0.46,0.377,0.877,2.7,77,197,Undrafted,Undrafted,Undrafted,0.616,0.512,0.353,2.8,11.5,7.3,24.9,1.6,0.8,12.9,23.7,2.4,-0.5,1.9,SF
Ayo Dosunmu,CHI,25,46,30.3,12.3,3.5,4.5,0.9,0.4,1.5,0.492,0.328,0.785,-5.1,77,200,2021,2,38,0.585,0.421,0.176,2,10,6.1,20.2,1.4,1.1,12.5,16.6,-1.4,-0.2,-1.6,SG
Bam Adebayo,MIA,27,78,34.3,18.1,9.6,4.3,1.3,0.7,2.1,0.485,0.357,0.765,0.3,81,255,2017,1,14,0.561,0.199,0.295,7.7,23.1,15.5,20,1.8,1.9,11.4,23.5,1,1,2,C
Baylor Scheierman,BOS,24,31,12.4,3.6,2.1,1.1,0.5,0.1,0.4,0.355,0.317,0.75,0.9,78,205,2024,1,30,0.49,0.745,0.109,5.4,13,9.2,11.3,2.2,0.5,9.4,14.5,-2.5,0.8,-1.7,SF
Ben Sheppard,IND,23,63,19.5,5.3,2.8,1.3,0.6,0.2,0.3,0.418,0.342,0.889,-0.9,78,190,2023,1,26,0.555,0.693,0.094,4,12,8,8.6,1.5,1,6.9,11.3,-2.2,0.2,-2,SF
